season,position,club,points,played,win,draw,loss,GF,GA,GD,city
2005–06,10,Borussia Mönchengladbach,42,34,10,12,12,42,50,-8,Mönchengladbach
2005–06,11,FSV Mainz 05,38,34,9,11,14,46,47,-1,Mainz
2005–06,12,Hannover 96,38,34,7,17,10,43,47,-4,Hanover
2005–06,13,Arminia Bielefeld,37,34,10,7,17,32,47,-15,Bielefeld
2005–06,14,Eintracht Frankfurt,36,34,9,9,16,42,51,-9,Frankfurt
2005–06,15,VfL Wolfsburg,34,34,7,13,14,33,55,-22,Wolfsburg
2005–06,16,1. FC Kaiserslautern,33,34,8,9,17,47,71,-24,Kaiserslautern
2005–06,17,1. FC Köln,30,34,7,9,18,49,71,-22,Cologne
2005–06,18,MSV Duisburg,27,34,5,12,17,34,63,-29,Duisburg
2006–07,1,VfB Stuttgart,70,34,21,7,6,61,37,24,Stuttgart
2006–07,2,FC Schalke 04,68,34,21,5,8,53,32,21,Gelsenkirchen
2006–07,3,Werder Bremen,66,34,20,6,8,76,40,36,Bremen
2006–07,4,FC Bayern Munich,60,34,18,6,10,55,40,15,Munich
2006–07,5,Bayer Leverkusen,51,34,15,6,13,54,49,5,Leverkusen
2006–07,6,1. FC Nürnberg,48,34,11,15,8,43,32,11,Nuremberg
2006–07,7,Hamburger SV,45,34,10,15,9,43,37,6,Hamburg
2006–07,8,VfL Bochum,45,34,13,6,15,49,50,-1,Bochum
2006–07,9,Borussia Dortmund,44,34,12,8,14,41,43,-2,Dortmund
2006–07,10,Hertha BSC,44,34,12,8,14,50,55,-5,Berlin
2006–07,11,Hannover 96,44,34,12,8,14,41,50,-9,Hanover
2006–07,12,Arminia Bielefeld,42,34,11,9,14,47,49,-2,Bielefeld
2006–07,13,Energie Cottbus,41,34,11,8,15,38,49,-11,Cottbus
2006–07,14,Eintracht Frankfurt,40,34,9,13,12,46,58,-12,Frankfurt
2006–07,15,VfL Wolfsburg,37,34,8,13,13,37,45,-8,Wolfsburg
2006–07,16,FSV Mainz 05,34,34,8,10,16,34,57,-23,Mainz
2006–07,17,Alemannia Aachen,34,34,9,7,18,46,70,-24,Aachen
2006–07,18,Borussia Mönchengladbach,26,34,6,8,20,23,44,-21,Mönchengladbach
2007–08,1,FC Bayern Munich,76,34,22,10,2,68,21,47,Munich
2007–08,2,Werder Bremen,66,34,20,6,8,75,45,30,Bremen
2007–08,3,FC Schalke 04,64,34,18,10,6,55,32,23,Gelsenkirchen
2007–08,4,Hamburger SV,54,34,14,12,8,47,26,21,Hamburg
2007–08,5,VfL Wolfsburg,54,34,15,9,10,58,46,12,Wolfsburg
2007–08,6,VfB Stuttgart,52,34,16,4,14,57,57,0,Stuttgart
2007–08,7,Bayer Leverkusen,51,34,15,6,13,57,40,17,Leverkusen
2007–08,8,Hannover 96,49,34,13,10,11,54,56,-2,Hanover
2007–08,9,Eintracht Frankfurt,46,34,12,10,12,43,50,-7,Frankfurt
2007–08,10,Hertha BSC,44,34,12,8,14,39,44,-5,Berlin
2007–08,11,Karlsruher SC,43,34,11,10,13,38,53,-15,Karlsruhe
2007–08,12,VfL Bochum,41,34,10,11,13,48,54,-6,Bochum
2007–08,13,Borussia Dortmund,40,34,10,10,14,50,62,-12,Dortmund
2007–08,14,Energie Cottbus,36,34,9,9,16,35,56,-21,Cottbus
2007–08,15,Arminia Bielefeld,34,34,8,10,16,35,60,-25,Bielefeld
2007–08,16,1. FC Nürnberg,31,34,7,10,17,35,51,-16,Nuremberg
2007–08,17,Hansa Rostock,30,34,8,6,20,30,52,-22,Rostock
2007–08,18,MSV Duisburg,29,34,8,5,21,36,55,-19,Duisburg
2008–09,1,VfL Wolfsburg,69,34,21,6,7,80,41,39,Wolfsburg
2008–09,2,FC Bayern Munich,67,34,20,7,7,71,42,29,Munich
2008–09,3,VfB Stuttgart,64,34,19,7,8,63,43,20,Stuttgart
2008–09,4,Hertha BSC,63,34,19,6,9,48,41,7,Berlin
2008–09,5,Hamburger SV,61,34,19,4,11,49,47,2,Hamburg
2008–09,6,Borussia Dortmund,59,34,15,14,5,60,37,23,Dortmund
2008–09,7,1899 Hoffenheim,55,34,15,10,9,63,49,14,Sinsheim
2008–09,8,FC Schalke 04,50,34,14,8,12,47,35,12,Gelsenkirchen
2008–09,9,Bayer Leverkusen,49,34,14,7,13,59,46,13,Leverkusen
2008–09,10,Werder Bremen,45,34,12,9,13,64,50,14,Bremen
2008–09,11,Hannover 96,40,34,10,10,14,49,69,-20,Hanover
2008–09,12,1. FC Köln,39,34,11,6,17,35,50,-15,Cologne
2008–09,13,Eintracht Frankfurt,33,34,8,9,17,39,60,-21,Frankfurt
2008–09,14,VfL Bochum,32,34,7,11,16,39,55,-16,Bochum
2008–09,15,Borussia Mönchengladbach,31,34,8,7,19,39,62,-23,Mönchengladbach
2008–09,16,Energie Cottbus,30,34,8,6,20,30,57,-27,Cottbus
2008–09,17,Karlsruher SC,29,34,8,5,21,30,54,-24,Karlsruhe
2008–09,18,Arminia Bielefeld,28,34,4,16,14,29,56,-27,Bielefeld
2009–10,1,FC Bayern Munich,70,34,20,10,4,72,31,41,Munich
2009–10,2,FC Schalke 04,65,34,19,8,7,53,31,22,Gelsenkirchen
2009–10,3,Werder Bremen,61,34,17,10,7,71,40,31,Bremen
2009–10,4,Bayer Leverkusen,59,34,15,14,5,65,38,27,Leverkusen
2009–10,5,Borussia Dortmund,57,34,16,9,9,54,42,12,Dortmund
2009–10,6,VfB Stuttgart,55,34,15,10,9,51,41,10,Stuttgart
2009–10,7,Hamburger SV,52,34,13,13,8,56,41,15,Hamburg
2009–10,8,VfL Wolfsburg,50,34,14,8,12,64,58,6,Wolfsburg
2009–10,9,FSV Mainz 05,47,34,12,11,11,36,42,-6,Mainz
2009–10,10,Eintracht Frankfurt,46,34,12,10,12,47,54,-7,Frankfurt
2009–10,11,1899 Hoffenheim,42,34,11,9,14,44,42,2,Sinsheim
2009–10,12,Borussia Mönchengladbach,39,34,10,9,15,43,60,-17,Mönchengladbach
2009–10,13,1. FC Köln,38,34,9,11,14,33,42,-9,Cologne
2009–10,14,SC Freiburg,35,34,9,8,17,35,59,-24,Freiburg
2009–10,15,Hannover 96,33,34,9,6,19,43,67,-24,Hanover
2009–10,16,1. FC Nürnberg,31,34,8,7,19,32,58,-26,Nuremberg
2009–10,17,VfL Bochum,28,34,6,10,18,33,64,-31,Bochum
2009–10,18,Hertha BSC,24,34,5,9,20,34,56,-22,Berlin
2010–11,1,Borussia Dortmund,75,34,23,6,5,67,22,45,Dortmund
2010–11,2,Bayer Leverkusen,68,34,20,8,6,64,44,20,Leverkusen
2010–11,3,FC Bayern Munich,65,34,19,8,7,81,40,41,Munich
2010–11,4,Hannover 96,60,34,19,3,12,49,45,4,Hanover
2010–11,5,FSV Mainz 05,58,34,18,4,12,52,39,13,Mainz
2010–11,6,1. FC Nürnberg,47,34,13,8,13,47,45,2,Nuremberg
2010–11,7,1. FC Kaiserslautern,46,34,13,7,14,48,51,-3,Kaiserslautern
2010–11,8,Hamburger SV,45,34,12,9,13,46,52,-6,Hamburg
2010–11,9,SC Freiburg,44,34,13,5,16,41,50,-9,Freiburg
2010–11,10,1. FC Köln,44,34,13,5,16,47,62,-15,Cologne
2010–11,11,1899 Hoffenheim,43,34,11,10,13,50,50,0,Sinsheim
2010–11,12,VfB Stuttgart,42,34,12,6,16,60,59,1,Stuttgart
2010–11,13,Werder Bremen,41,34,10,11,13,47,61,-14,Bremen
2010–11,14,FC Schalke 04,40,34,11,7,16,38,44,-6,Gelsenkirchen
2010–11,15,VfL Wolfsburg,38,34,9,11,14,43,48,-5,Wolfsburg
2010–11,16,Borussia Mönchengladbach,36,34,10,6,18,48,65,-17,Mönchengladbach
2010–11,17,Eintracht Frankfurt,34,34,9,7,18,31,49,-18,Frankfurt
2010–11,18,FC St. Pauli,29,34,8,5,21,35,68,-33,Hamburg
2011–12,1,Borussia Dortmund,81,34,25,6,3,80,25,55,Dortmund
2011–12,2,FC Bayern Munich,73,34,23,4,7,77,22,55,Munich
2011–12,3,FC Schalke 04,64,34,20,4,10,74,44,30,Gelsenkirchen
2011–12,4,Borussia Mönchengladbach,60,34,17,9,8,49,24,25,Mönchengladbach
2011–12,5,Bayer Leverkusen,54,34,15,9,10,52,44,8,Leverkusen
2011–12,6,VfB Stuttgart,53,34,15,8,11,63,46,17,Stuttgart
2011–12,7,Hannover 96,48,34,12,12,10,41,45,-4,Hanover
2011–12,8,VfL Wolfsburg,44,34,13,5,16,47,60,-13,Wolfsburg
2011–12,9,Werder Bremen,42,34,11,9,14,49,58,-9,Bremen
2011–12,10,1. FC Nürnberg,42,34,12,6,16,38,49,-11,Nuremberg
2011–12,11,1899 Hoffenheim,41,34,10,11,13,41,47,-6,Sinsheim
2011–12,12,SC Freiburg,40,34,10,10,14,45,61,-16,Freiburg
2011–12,13,FSV Mainz 05,39,34,9,12,13,47,51,-4,Mainz
2011–12,14,FC Augsburg,38,34,8,14,12,36,49,-13,Augsburg
2011–12,15,Hamburger SV,36,34,8,12,14,35,57,-22,Hamburg
2011–12,16,Hertha BSC,31,34,7,10,17,38,64,-26,Berlin
2011–12,17,1. FC Köln,30,34,8,6,20,39,75,-36,Cologne
2011–12,18,1. FC Kaiserslautern,23,34,4,11,19,24,54,-30,Kaiserslautern
2012–13,1,FC Bayern Munich,91,34,29,4,1,98,18,80,Munich
2012–13,2,Borussia Dortmund,66,34,19,9,6,81,42,39,Dortmund
2012–13,3,Bayer Leverkusen,65,34,19,8,7,65,39,26,Leverkusen
2012–13,4,FC Schalke 04,55,34,16,7,11,58,50,8,Gelsenkirchen
2012–13,5,SC Freiburg,51,34,14,9,11,45,40,5,Freiburg
2012–13,6,Eintracht Frankfurt,51,34,14,9,11,49,46,3,Frankfurt
2012–13,7,Hamburger SV,48,34,14,6,14,42,53,-11,Hamburg
2012–13,8,Borussia Mönchengladbach,47,34,12,11,11,45,49,-4,Mönchengladbach
2012–13,9,Hannover 96,45,34,13,6,15,60,62,-2,Hanover
2012–13,10,1. FC Nürnberg,44,34,11,11,12,39,47,-8,Nuremberg
2012–13,11,VfL Wolfsburg,43,34,10,13,11,47,52,-5,Wolfsburg
2012–13,12,VfB Stuttgart,43,34,12,7,15,37,55,-18,Stuttgart
2012–13,13,FSV Mainz 05,42,34,10,12,12,42,44,-2,Mainz
2012–13,14,Werder Bremen,34,34,8,10,16,50,66,-16,Bremen
2012–13,15,FC Augsburg,33,34,8,9,17,33,51,-18,Augsburg
2012–13,16,1899 Hoffenheim,31,34,8,7,19,42,67,-25,Sinsheim
2012–13,17,Fortuna Düsseldorf,30,34,7,9,18,39,57,-18,Düsseldorf
2012–13,18,SpVgg Greuther Fürth,21,34,4,9,21,26,60,-34,Fürth
2013–14,1,FC Bayern Munich,90,34,29,3,2,94,23,71,Munich
2013–14,2,Borussia Dortmund,71,34,22,5,7,80,38,42,Dortmund
2013–14,3,FC Schalke 04,64,34,19,7,8,63,43,20,Gelsenkirchen
2013–14,4,Bayer Leverkusen,61,34,19,4,11,60,41,19,Leverkusen
2013–14,5,VfL Wolfsburg,60,34,18,6,10,63,50,13,Wolfsburg
2013–14,6,Borussia Mönchengladbach,55,34,16,7,11,59,43,16,Mönchengladbach
2013–14,7,FSV Mainz 05,53,34,16,5,13,52,54,-2,Mainz
2013–14,8,FC Augsburg,52,34,15,7,12,47,47,0,Augsburg
2013–14,9,1899 Hoffenheim,44,34,11,11,12,72,70,2,Sinsheim
2013–14,10,Hannover 96,42,34,12,6,16,46,59,-13,Hanover
2013–14,11,Hertha BSC,41,34,11,8,15,40,48,-8,Berlin
2013–14,12,Werder Bremen,39,34,10,9,15,42,66,-24,Bremen
2013–14,13,Eintracht Frankfurt,36,34,9,9,16,40,57,-17,Frankfurt
2013–14,14,SC Freiburg,36,34,9,9,16,43,61,-18,Freiburg
2013–14,15,VfB Stuttgart,32,34,8,8,18,49,62,-13,Stuttgart
2013–14,16,Hamburger SV,27,34,7,6,21,51,75,-24,Hamburg
2013–14,17,1. FC Nürnberg,26,34,5,11,18,37,70,-33,Nuremberg
2013–14,18,Eintracht Braunschweig,25,34,6,7,21,29,60,-31,Braunschweig
2014–15,1,FC Bayern Munich,79,34,25,4,5,80,18,62,Munich
2014–15,2,VfL Wolfsburg,69,34,20,9,5,72,38,34,Wolfsburg
2014–15,3,Borussia Mönchengladbach,66,34,19,9,6,53,26,27,Mönchengladbach
2014–15,4,Bayer Leverkusen,61,34,17,10,7,62,37,25,Leverkusen
2014–15,5,FC Augsburg,49,34,15,4,15,43,43,0,Augsburg
2014–15,6,FC Schalke 04,48,34,13,9,12,42,40,2,Gelsenkirchen
2014–15,7,Borussia Dortmund,46,34,13,7,14,47,42,5,Dortmund
2014–15,8,1899 Hoffenheim,44,34,12,8,14,49,55,-6,Sinsheim
2014–15,9,Eintracht Frankfurt,43,34,11,10,13,56,62,-6,Frankfurt
2014–15,10,Werder Bremen,43,34,11,10,13,50,65,-15,Bremen
2014–15,11,FSV Mainz 05,40,34,9,13,12,45,47,-2,Mainz
2014–15,12,1. FC Köln,40,34,9,13,12,34,40,-6,Cologne
2014–15,13,Hannover 96,37,34,9,10,15,40,56,-16,Hanover
2014–15,14,VfB Stuttgart,36,34,9,9,16,42,60,-18,Stuttgart
2014–15,15,Hertha BSC,35,34,9,8,17,36,52,-16,Berlin
2014–15,16,Hamburger SV,35,34,9,8,17,25,50,-25,Hamburg
2014–15,17,SC Freiburg,34,34,7,13,14,36,47,-11,Freiburg
2014–15,18,SC Paderborn 07,31,34,7,10,17,31,65,-34,Paderborn
2015–16,1,FC Bayern Munich,88,34,28,4,2,80,17,63,Munich
2015–16,2,Borussia Dortmund,78,34,24,6,4,82,34,48,Dortmund
2015–16,3,Bayer Leverkusen,60,34,18,6,10,56,40,16,Leverkusen
2015–16,4,Borussia Mönchengladbach,55,34,17,4,13,67,50,17,Mönchengladbach
2015–16,5,FC Schalke 04,52,34,15,7,12,51,49,2,Gelsenkirchen
2015–16,6,FSV Mainz 05,50,34,14,8,12,46,42,4,Mainz
2015–16,7,Hertha BSC,50,34,14,8,12,42,42,0,Berlin
2015–16,8,VfL Wolfsburg,45,34,12,9,13,47,49,-2,Wolfsburg
2015–16,9,1. FC Köln,43,34,10,13,11,38,42,-4,Cologne
2015–16,10,Hamburger SV,41,34,11,8,15,40,46,-6,Hamburg
2015–16,11,FC Ingolstadt,40,34,10,10,14,33,42,-9,Ingolstadt
2015–16,12,FC Augsburg,38,34,9,11,14,42,52,-10,Augsburg
2015–16,13,Werder Bremen,38,34,10,8,16,50,65,-15,Bremen
2015–16,14,SV Darmstadt,38,34,9,11,14,38,53,-15,Darmstadt
2015–16,15,1899 Hoffenheim,37,34,9,10,15,39,54,-15,Sinsheim
2015–16,16,Eintracht Frankfurt,36,34,9,9,16,34,52,-18,Frankfurt
2015–16,17,VfB Stuttgart,33,34,9,6,19,50,75,-25,Stuttgart
2015–16,18,Hannover 96,25,34,7,4,23,31,62,-31,Hanover
2016–17,1,FC Bayern Munich,82,34,25,7,2,89,22,67,Munich
2016–17,2,RB Leipzig,67,34,20,7,7,66,39,27,Leipzig
2016–17,3,Borussia Dortmund,64,34,18,10,6,72,40,32,Dortmund
2016–17,4,1899 Hoffenheim,62,34,16,14,4,64,37,27,Sinsheim
2016–17,5,1. FC Köln,49,34,12,13,9,51,42,9,Cologne
2016–17,6,Hertha BSC,49,34,15,4,15,43,47,-4,Berlin
2016–17,7,SC Freiburg,48,34,14,6,14,42,60,-18,Freiburg
2016–17,8,Werder Bremen,45,34,13,6,15,61,64,-3,Bremen
2016–17,9,Borussia Mönchengladbach,45,34,12,9,13,45,49,-4,Mönchengladbach
2016–17,10,FC Schalke 04,43,34,11,10,13,45,40,5,Gelsenkirchen
2016–17,11,Eintracht Frankfurt,42,34,11,9,14,36,43,-7,Frankfurt
2016–17,12,Bayer Leverkusen,41,34,11,8,15,53,55,-2,Leverkusen
2016–17,13,FC Augsburg,38,34,9,11,14,35,51,-16,Augsburg
2016–17,14,Hamburger SV,38,34,10,8,16,33,61,-28,Hamburg
2016–17,15,FSV Mainz 05,37,34,10,7,17,44,55,-11,Mainz
2016–17,16,VfL Wolfsburg,37,34,10,7,17,34,52,-18,Wolfsburg
2016–17,17,FC Ingolstadt,32,34,8,8,18,36,57,-21,Ingolstadt
2016–17,18,SV Darmstadt,25,34,7,4,23,28,63,-35,Darmstadt
2017–18,1,FC Bayern Munich,84,34,27,3,4,92,28,64,Munich
2017–18,2,FC Schalke 04,63,34,18,9,7,53,37,16,Gelsenkirchen
2017–18,3,1899 Hoffenheim,55,34,15,10,9,66,48,18,Sinsheim
2017–18,4,Borussia Dortmund,55,34,15,10,9,64,47,17,Dortmund
2017–18,5,Bayer Leverkusen,55,34,15,10,9,58,44,14,Leverkusen
2017–18,6,RB Leipzig,53,34,15,8,11,57,53,4,Leipzig
2017–18,7,VfB Stuttgart,51,34,15,6,13,36,36,0,Stuttgart
2017–18,8,Eintracht Frankfurt,49,34,14,7,13,45,45,0,Frankfurt
2017–18,9,Borussia Mönchengladbach,47,34,13,8,13,47,52,-5,Mönchengladbach
2017–18,10,Hertha BSC,43,34,10,13,11,43,46,-3,Berlin
2017–18,11,Werder Bremen,42,34,10,12,12,37,40,-3,Bremen
2017–18,12,FC Augsburg,41,34,10,11,13,43,46,-3,Augsburg
2017–18,13,Hannover 96,39,34,10,9,15,44,54,-10,Hanover
2017–18,14,FSV Mainz 05,36,34,9,9,16,38,52,-14,Mainz
2017–18,15,SC Freiburg,36,34,8,12,14,32,56,-24,Freiburg
2017–18,16,VfL Wolfsburg,33,34,6,15,13,36,48,-12,Wolfsburg
2017–18,17,Hamburger SV,31,34,8,7,19,29,53,-24,Hamburg
2017–18,18,1. FC Köln,22,34,5,7,22,35,70,-35,Cologne
2018–19,1,FC Bayern Munich,78,34,24,6,4,88,32,56,Munich
2018–19,2,Borussia Dortmund,76,34,23,7,4,81,44,37,Dortmund
2018–19,3,RB Leipzig,66,34,19,9,6,63,29,34,Leipzig
2018–19,4,Bayer Leverkusen,58,34,18,4,12,69,52,17,Leverkusen
2018–19,5,Borussia Mönchengladbach,55,34,16,7,11,55,42,13,Mönchengladbach
2018–19,6,VfL Wolfsburg,55,34,16,7,11,62,50,12,Wolfsburg
2018–19,7,Eintracht Frankfurt,54,34,15,9,10,60,48,12,Frankfurt
2018–19,8,Werder Bremen,53,34,14,11,9,58,49,9,Bremen
2018–19,9,1899 Hoffenheim,51,34,13,12,9,70,52,18,Sinsheim
2018–19,10,Fortuna Düsseldorf,44,34,13,5,16,49,65,-16,Düsseldorf
2018–19,11,Hertha BSC,43,34,11,10,13,49,57,-8,Berlin
2018–19,12,FSV Mainz 05,43,34,12,7,15,46,57,-11,Mainz
2018–19,13,SC Freiburg,36,34,8,12,14,46,61,-15,Freiburg
2018–19,14,FC Schalke 04,33,34,8,9,17,37,55,-18,Gelsenkirchen
2018–19,15,FC Augsburg,32,34,8,8,18,51,71,-20,Augsburg
2018–19,16,VfB Stuttgart,28,34,7,7,20,32,70,-38,Stuttgart
2018–19,17,Hannover 96,21,34,5,6,23,31,71,-40,Hanover
2018–19,18,1. FC Nürnberg,19,34,3,10,21,26,68,-42,Nuremberg
2019–20,1,FC Bayern Munich,82,34,26,4,4,100,32,68,Munich
2019–20,2,Borussia Dortmund,69,34,21,6,7,84,41,43,Dortmund
2019–20,3,RB Leipzig,66,34,18,12,4,81,37,44,Leipzig
2019–20,4,Borussia Mönchengladbach,65,34,20,5,9,66,40,26,Mönchengladbach
2019–20,5,Bayer Leverkusen,63,34,19,6,9,61,44,17,Leverkusen
2019–20,6,1899 Hoffenheim,52,34,15,7,12,53,53,0,Sinsheim
2019–20,7,VfL Wolfsburg,49,34,13,10,11,48,46,2,Wolfsburg
2019–20,8,SC Freiburg,48,34,13,9,12,48,47,1,Freiburg
2019–20,9,Eintracht Frankfurt,45,34,13,6,15,59,60,-1,Frankfurt
2019–20,10,Hertha BSC,41,34,11,8,15,48,59,-11,Berlin
2019–20,11,Union Berlin,41,34,12,5,17,41,58,-17,Berlin
2019–20,12,FC Schalke 04,39,34,9,12,13,38,58,-20,Gelsenkirchen
2019–20,13,FSV Mainz 05,37,34,11,4,19,44,65,-21,Mainz
2019–20,14,1. FC Köln,36,34,10,6,18,51,69,-18,Cologne
2019–20,15,FC Augsburg,36,34,9,9,16,45,63,-18,Augsburg
2019–20,16,Werder Bremen,31,34,8,7,19,42,69,-27,Bremen
2019–20,17,Fortuna Düsseldorf,30,34,6,12,16,36,67,-31,Düsseldorf
2019–20,18,SC Paderborn 07,20,34,4,8,22,37,74,-37,Paderborn
